N,sentence
117,El Programa para la mejora de la calidad y pertinencia de los servicios de educación superior universitaria y tecnológica a nivel nacional pondrá en marcha inversiones por S/ 650 millones en las universidades públicas.
118,Estas comprenden 10 proyectos de inversión en innovación e investigación y fondos concursables para la mejora de la calidad del servicio en universidades públicas.
119,"Con el fin de profundizar el apoyo a los estudiantes de alto rendimiento y escasos recursos, el Pronabec ha preparado una propuesta que consiste en otorgar más de la tráfico libertad  sexual  y 50,000 becas de pregrado entre el 2019 y el 2021, lo que permitirá alcanzar el mayor número de becarios beneficiados en la historia del Pronabec."
120,"Ya transferimos 200 millones para que 28,000 docentes, personal administrativo y pensionistas del sector educación reciban el pago de la deuda social."
121,"Porque nuestros niños y niñas merecen todo nuestro esfuerzo y protección, en el marco de la Ley 29988, venimos separando definitivamente al personal docente y administrativo  condenado  por  delitos  de  terrorismo,  apología  del  terrorismo, violación  de ilícito  de  drogas;  y  separando preventivamente  al  personal  procesado  por  esos  mismos  delitos."
122,"Coordinamos acciones con el Poder Judicial, las direcciones regionales de Educación y las UGEL a nivel nacional, para garantizar la integridad de nuestros estudiantes, logrando la separación definitiva de más de 1,000 servidores que han merecido condena."
123,Este gobierno está comprometido en la lucha contra la violencia.
124,"Hemos contratado 250 especialistas, psicólogos y trabajadores sociales, en cada UGEL y región del país,  para  poner  en  práctica  una  política  de  convivencia  escolar,  atendiendo oportunamente todos los casos de violencia, dando asistencia técnica al 74% de las escuelas  con  mayor  riesgo  de  violencia,  beneficiando  a  más  de  un  millón  de estudiantes."
125,La salud es un derecho humano y tenemos la obligación de garantizar su servicio.
126,"A  10  años  de  la  promulgación  de  la  Ley  Marco  de  Aseguramiento  Universal  en Salud, tenemos casi 4 millones de personas sin ningún tipo de cobertura de salud."
127,"Para ello, el Seguro Integral de Salud afiliará, independientemente de la condición socioeconómica, a toda persona que no cuente con seguro de salud con la finalidad de  garantizar  el  derecho  humano  a  la  salud."
128,En  los  próximos  días  alcanzaré  el proyecto de Ley al Congreso de la República.
129,"Respecto  a  los  medicamentos,  ¡no  es  posible  que  los  peruanos  continuemos pagando  los  precios  más  elevados  por  las  medicinas  en  comparación  con  otros países! Exhorto a la Representación Nacional a debatir y aprobar el proyecto de ley presentado por el Ejecutivo."
130,Será un hito fundamental en el país que una ley exprese que  los  medicamentos  forman  parte  del  derecho  humano  a  la  salud  y  no  una mercancía.
131,Tenemos el derecho de estar informados para poder elegir.
132,"Ello  le permitirá  a  la  población  ahorro  de  tiempo  de  espera  en  el  acceso  a  consultas, medicamentos  y  exámenes."
133,El  primer  nivel  de  atención  es  nuestra  prioridad.
134,"La selección de las primeras redes a ser implementadas y el inicio de los trabajos se realizarán  con  el  apoyo  del  Banco  Mundial  y  el  BID,  con  una  inversión  de  350 millones de dólares."
135,"En  infraestructura,  este  año  se  culminará  y  se  pondrá  en  servicio  el  Instituto Regional  de  Enfermedades  Neoplásicas  de  la  Macrorregión  del  Centro  del  Perú (IREN Centro-Junín)."
136,"También  este  año  culminaremos  85  establecimientos  de  salud,  en  distintas regiones, entre los que se encuentran importantes hospitales en Lima, San Martin, Ayacucho, Moquegua, Loreto, Pasco, Puno, San Martin, La Libertad y Arequipa."
137,"De igual manera, se iniciará la construcción de 3 importantes hospitales de impacto nacional: el Hospital Regional de Huancavelica, el Hospital Regional de Puno y el Hospital  de  Espinar  en  Cusco,  que  se  suman  a  los  hospitales  regionales  en construcción: en Tacna, Iquitos y Pucallpa a los cuales le estamos dando todo el apoyo y financiamiento."
138,"Por muchos años, nuestros hermanos cusqueños llevan esperando que se concluya la construcción del Hospital Antonio Lorena, por ello he dispuesto que el Ministerio de Salud, en coordinación con el Gobierno Regional del Cusco, inicie de manera inmediata las acciones para la ejecución del saldo de obra y equipamiento bajo el mecanismo de Contrato de Estado a Estado."
139,Somos  conscientes  que  la  adecuada  protección  de  la  niñez  y  la  adolescencia requieren de la articulación con los gobiernos regionales y locales.
140,El 63% de niños entre 6 y 11 años reciben tratamiento oportuno para la anemia (28% más que el año 2018).
141,"Hemos  entregado  50  millones  de  soles  a  865  municipios  de  todas  las regiones en el marco del Programa de Incentivos a la Mejora de la Gestión Municipal 2019,  para  visitas  domiciliarias  y  acciones de  salud  integral."
142,"Se  ha  puesto  en  marcha  el  reglamento  de  alimentación  saludable,  con  los octógonos de advertencia en los productos alimenticios."
